제목,시간,별점,날짜,본문,연수 분야,가격,대상
"행복한 학급 만들기, 학생과 교사 자존감 수업",30,5점,2024.04.19,"선생님의 자존감은 안녕하신가요?

안팎으로 심란한 상황에서 …",자기계발,"70,000 원",전체
"행복한 학급 만들기, 학생과 교사 자존감 수업",30,5점,2023.12.24,부모보다 교사를 더 많이 만나고 보는 학생이 많으며 부모의 …,자기계발,"70,000 원",전체
저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),5,5점,2024.05.10,교재연구와 성적연수의 부족한 시간 채우기 일석이조 연수입니다…,교과서연수,0원,유치 초등
저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),5,5점,2024.03.11,수학 지도서와 교과서를 더 이해하고 활용할 수 있도록 도움이…,교과서연수,0원,유치 초등
쉽게 배우고 활용하는 교실 속 손그림 그리기,15,5점,2024.05.09,늘 그림을 잘 그리고 싶었던 시절이 오래전부터 있었습니다. …,ICT정보화,"40,000 원",전체
쉽게 배우고 활용하는 교실 속 손그림 그리기,15,5점,2024.04.25,"활동지를 만들거나, 게시판을 꾸밀 때 직접 그린 손그림으로 …",ICT정보화,"40,000 원",전체
쉽게 배우고 활용하는 교실 속 손그림 그리기,15,5점,2024.04.23,제목과 같이 정말 쉽게 배우고 활용할 수 있는 손그림 수업이…,ICT정보화,"40,000 원",전체
쉽게 배우고 활용하는 교실 속 손그림 그리기,15,5점,2024.01.17,칠판에 판서를 할때 글보다 그림이 더 효과적이고 특히 사회 …,ICT정보화,"40,000 원",전체
쉽게 배우고 활용하는 교실 속 손그림 그리기,15,4점,2024.01.13,쉽고 재미있게 손 그림을 그릴 수 있도록 도움이 되는 연수였…,ICT정보화,"40,000 원",전체
메이슨의 패턴잉글리쉬,30,3점,2024.05.09,티셀파에 영어회화 관련한 연수가 아주 많지는 않아서 등록했습…,어학,"70,000 원",전체
메이슨의 패턴잉글리쉬,30,5점,2024.04.02,"쉽고 간단한 영어, 안 쓰면 자꾸 까먹는데 
반복하니 좋아…",어학,"70,000 원",전체
학생들과 함께 나누는 기후변화 이야기,30,5점,2024.05.09,지구촌의 환경 오염 문제를 학생들과 같이 수업시간에 나눌 기…,인문교양,"70,000 원",전체
학생들과 함께 나누는 기후변화 이야기,30,5점,2024.04.15,기후변화에 대응하여 실천할 수 있는 주제를 일목요연하게 안내…,인문교양,"70,000 원",전체
학생들과 함께 나누는 기후변화 이야기,30,5점,2024.03.12,기후 변화의 정의와 앞으로 우리가 할 수 있는 점에 대해 연…,인문교양,"70,000 원",전체
학생들과 함께 나누는 기후변화 이야기,30,5점,2024.01.05,"보통 연수 후기를 잘 작성하지 않는데, 많은 것을 느끼고 배…",인문교양,"70,000 원",전체
기초영어 회화 핵심표현 Real Speaking 2,15,5점,2024.05.08,영어를 놓은지가 꽤 되었는데...연수받느라 힘들었지만 유익햇…,어학,"40,000 원",전체
파워포인트로 끝내는 교실 콘텐츠 창작 비법 노트,15,5점,2024.05.08,다양한 자료들을 파워포인트로도 만들 수 있음을 이 연수를 통…,ICT정보화,"40,000 원",전체
파워포인트로 끝내는 교실 콘텐츠 창작 비법 노트,15,5점,2024.04.21,"수업할 때 파워포인트 활용을 하는데, 연수 듣고 보니 파워포…",ICT정보화,"40,000 원",전체
교사가 알고싶은 독립운동사,20,5점,2024.05.07,"알기쉽고 정리가 잘 되어 있어요
저도 학생들 열심히 가르치겠…",교과수업,0원,전체
교사가 알고싶은 독립운동사,20,5점,2024.05.01,"이렇게 좋은 연수 만들어주셔서 고맙습니다.
고등학교 한…",교과수업,0원,전체
교사가 알고싶은 독립운동사,20,5점,2024.04.24,가슴 아픈 근현대사지만 민족의 독립과 번영을 위해 최선을 다…,교과수업,0원,전체
교사가 알고싶은 독립운동사,20,5점,2024.03.12,독립 운동사의 과정을 공부하며 독립의 의미를 되새기고 민족의…,교과수업,0원,전체
교사가 알고싶은 독립운동사,20,5점,2024.02.27,평소에 많이 잊었었던 우리나라의 역사를 되새겨볼 수 있어서 …,교과수업,0원,전체
교사가 알고싶은 독립운동사,20,5점,2024.01.17,우리가 꼭 알아야 할역사 하지만 잘 몰랐던 역사에 대해 알수…,교과수업,0원,전체
인성교육 연구보고서 작성법,15,5점,2024.05.01,연구보고서를 어떻게 써야하고 진행해야 하는지 처음 시도를 두…,자기계발,"40,000 원",유치 초등 중등 교육전문직
